Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
BMS Launch,50,187,168,244,291,346,129,346,0.000%,.12724,0.22,0.00
Login,50,2237,2473,2846,2959,3104,831,3104,0.000%,.12670,85.08,0.00
Project Page,50,53,57,60,62,71,38,71,0.000%,.12695,87.66,0.00
Graphics Screen,50,118,59,246,439,689,28,689,0.000%,.12707,89.05,0.00
Logout,50,151,94,229,308,956,46,956,0.000%,.12711,0.22,0.00
TOTAL,250,549,130,2473,2651,2989,28,3104,0.000%,.57952,239.49,0.00
