Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
BMS Launch,30,3449,1137,7766,10068,20328,125,20328,0.000%,.19988,0.35,0.00
Login,30,10350,8323,24287,24581,32680,922,32680,0.000%,.18858,126.63,0.00
Project Page,30,447,196,1242,1261,2008,56,2008,0.000%,.18972,131.05,0.00
Graphics Screen,30,1209,582,3606,4190,5424,26,5424,0.000%,.19141,134.20,0.00
Logout,30,355,127,1016,1106,2133,48,2133,0.000%,.19222,0.33,0.00
TOTAL,150,3162,605,10174,17812,31719,26,32680,0.000%,.76414,315.87,0.00
