Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
BMS Launch,50,153,152,167,177,224,121,224,0.000%,.14569,0.25,0.00
Login,50,3643,3542,4242,4484,4520,3209,4520,0.000%,.14435,96.93,0.00
Project Page,50,49,42,60,61,79,39,79,0.000%,.14609,100.87,0.00
Graphics Screen,50,41,38,58,62,73,25,73,0.000%,.14618,103.39,0.00
TOTAL,200,971,79,3555,3639,4488,25,4520,0.000%,.53354,276.24,0.00
