Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
BMS Launch,50,156,158,178,182,195,124,195,0.000%,.14574,0.25,0.00
Login,50,3547,3477,3716,3733,4651,3155,4651,0.000%,.14453,97.06,0.00
Logout,50,78,75,109,113,133,38,133,0.000%,.14607,0.25,0.00
TOTAL,150,1260,158,3547,3604,4544,38,4651,0.000%,.41697,93.82,0.00
