Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
BMS Launch,50,168,162,218,223,234,124,234,0.000%,.14568,0.25,0.00
Login,50,1921,1991,2185,2206,2329,1197,2329,0.000%,.14511,97.44,0.00
Project Page,50,65,60,91,101,142,38,142,0.000%,.14559,100.53,0.00
Graphics Screen,50,47,43,64,72,108,24,108,0.000%,.14571,6.01,0.00
TOTAL,200,551,124,2017,2118,2229,24,2329,0.000%,.52183,183.29,0.00
