Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
BMS Launch,50,220,218,268,280,348,125,348,0.00%,0.14564,0.25,0
Login,50,1803,1815,2066,2133,2358,1083,2358,0.00%,0.14523,97.52,0
Project Page,50,75,63,106,125,160,40,160,0.00%,0.14568,100.59,0
STP Pump Command,50,81,44,172,282,361,23,361,0.00%,0.14576,4.99,0
TOTAL,200,545,160,1829,1964,2138,23,2358,0.00%,0.53033,185.34,0
