Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
BMS Launch,50,154,154,176,186,212,126,212,0.000%,.14566,0.25,0.00
Login,50,1595,1622,1718,1749,1848,1045,1848,0.000%,.14527,97.55,0.00
Project Page,50,45,41,57,58,61,38,61,0.000%,.14575,100.64,0.00
TOTAL,150,598,154,1675,1703,1807,38,1848,0.000%,.41345,187.94,0.00
